,targetId,hasSafetyEvent,maxClinicalTrialPhase,tissueSpecificity,tissueDistribution,uniqueTherapeuticAreas,uniqueDiseases,maxEffectiveSampleSize,earliestPublicationDate,approvedSymbol,lofConstraint,misConstraint,synConstraint,pathwayCount
1211,ENSG00000171298,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,GAA,-0.008000016,-0.31627,-0.17359,3
1212,ENSG00000172062,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,SMN1,-0.12100005,0.12501,0.28979,2
1213,ENSG00000172809,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,RPL38,0.53900003,1.1893,-0.86945,13
1214,ENSG00000173083,0,0.75,-1.0,0.0,0,0,0.01,2025-01-01,HPSE,-0.065999985,-0.20872,0.16436,2
1215,ENSG00000173273,0,0.5,-1.0,-1.0,7,7,765591.3646788632,2019-06-24,TNKS,0.361,-0.27589,-3.4717,5
1216,ENSG00000173585,0,0.75,1.0,0.5,0,0,0.01,2025-01-01,CCR9,0.013000011,1.4053,0.82928,2
1217,ENSG00000175344,0,0.75,0.5,0.0,0,0,0.01,2025-01-01,CHRNA7,-0.06400001,2.672,1.6323,1
1218,ENSG00000177084,0,1.0,-1.0,0.0,0,0,0.01,2025-01-01,POLE,0.25,2.6706,-0.089831,10
1219,ENSG00000177663,0,1.0,0.5,-1.0,1,1,135108.48254553688,2025-02-28,IL17RA,0.102999985,-1.468,-2.3183,2
1220,ENSG00000177954,0,1.0,-1.0,-1.0,2,2,358386.30063935445,2021-09-30,RPS27,0.48000002,1.6674,-1.0485,24
1221,ENSG00000178394,1,1.0,0.75,0.5,2,4,1778690.168860174,2022-06-28,HTR1A,0.038999975,1.3278,0.1275,1
1222,ENSG00000178568,0,1.0,0.5,0.0,10,19,1778690.168860174,2015-09-29,ERBB4,0.643,2.8306,0.13765,20
1223,ENSG00000180176,1,1.0,0.75,0.5,5,9,1424218.0900670097,2009-05-10,TH,-0.26999998,-1.0314,-1.6511,1
1224,ENSG00000180772,1,0.5,0.5,0.5,2,3,251325.91086204,2022-01-12,AGTR2,,,,2
1225,ENSG00000181408,1,0.5,-1.0,0.0,0,0,0.01,2025-01-01,UTS2R,,-2.2589,-3.1627,2
1226,ENSG00000182389,0,1.0,0.75,0.0,1,1,901.5722738799661,2013-09-11,CACNB4,0.222,1.9354,0.3022,2
1227,ENSG00000183648,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,NDUFB1,-0.60800004,0.71128,0.69514,2
1228,ENSG00000184611,0,1.0,0.5,0.5,2,3,1424218.0900670097,2010-10-17,KCNH7,0.502,3.8438,-0.1949,1
1229,ENSG00000185518,0,0.75,0.75,0.5,1,1,575147.0632428399,2024-07-19,SV2B,0.32,1.7201,0.52646,4
1230,ENSG00000186090,0,1.0,,,0,0,0.01,2025-01-01,HTR3D,-0.28100002,1.1698,0.21809,1
1231,ENSG00000187764,0,0.5,0.5,-1.0,1,1,13959.203480505423,2023-01-18,SEMA4D,0.546,2.3194,0.90908,3
1232,ENSG00000189403,0,0.75,-1.0,-1.0,3,3,1424218.0900670097,2018-10-08,HMGB1,0.832,3.3365,0.2466,11
1233,ENSG00000196083,0,1.0,1.0,-1.0,0,0,0.01,2025-01-01,IL1RAP,0.23900002,2.0918,-0.023089,6
1234,ENSG00000196639,1,1.0,-1.0,0.0,0,0,0.01,2025-01-01,HRH1,-0.074,1.873,0.25924,2
1235,ENSG00000196876,0,1.0,0.75,0.5,0,0,0.01,2025-01-01,SCN8A,0.811,10.451,1.4292,2
1236,ENSG00000197901,1,1.0,1.0,0.5,1,1,466632.7979326389,2023-01-18,SLC22A6,0.065999985,1.643,0.37126,1
1237,ENSG00000198056,0,1.0,0.5,-1.0,4,5,1424218.0900670097,2020-06-08,PRIM1,0.176,1.2394,-0.48029,9
1238,ENSG00000198734,1,1.0,0.75,0.0,12,45,672632.4785173276,2013-05-05,F5,0.296,2.7865,1.015,6
1239,ENSG00000198838,0,1.0,0.5,0.0,0,0,0.01,2025-01-01,RYR3,0.57,2.7392,-1.3425,2
1240,ENSG00000198851,0,1.0,1.0,0.0,0,0,0.01,2025-01-01,CD3E,0.34100002,0.88647,1.4429,6
1241,ENSG00000198900,1,1.0,-1.0,-1.0,5,7,275021.63051358337,2018-08-13,TOP1,0.878,5.364,1.3289,1
1242,ENSG00000204403,0,0.5,0.5,0.0,1,1,323648.5577791949,2020-11-10,CASP12,,0.11099,0.24092,0
1243,ENSG00000204681,0,1.0,1.0,0.0,0,0,0.01,2025-01-01,GABBR1,0.622,5.5364,1.0959,5
1244,ENSG00000213694,0,1.0,-1.0,-1.0,1,1,74722.59037384245,2024-07-19,S1PR3,-0.26699996,1.2878,-0.085957,3
1245,ENSG00000213741,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,RPS29,0.69200003,0.95196,-0.91415,18
1246,ENSG00000215182,0,0.75,1.0,0.5,4,11,562534.7696387965,2019-03-28,MUC5AC,-0.16799998,0.51701,-0.062162,6
1247,ENSG00000215440,0,0.5,-1.0,-1.0,1,1,5026.948157648103,2023-01-18,NPEPL1,-0.28699994,-1.1412,-2.4355,0
1248,ENSG00000220205,0,1.0,0.5,-1.0,2,2,1076472.0138856068,2021-05-27,VAMP2,0.824,1.7472,-0.39665,22
1249,ENSG00000256713,0,1.0,1.0,0.0,0,0,0.01,2025-01-01,PGA5,-0.66499996,0.72155,0.66882,1
1250,ENSG00000258839,0,1.0,0.5,0.0,8,30,431284.57934287674,2011-06-23,MC1R,-0.93299997,-1.9869,-2.4505,3
1251,ENSG00000267855,0,1.0,-1.0,-1.0,2,2,90664.10805347394,2024-07-19,NDUFA7,-0.88699996,-0.65256,-1.1259,2
1252,ENSG00000277893,0,1.0,0.75,0.5,2,2,384314.83364002535,2021-11-04,SRD5A2,-0.717,-0.88175,-0.87398,1
1253,ENSG00000292357,0,1.0,,,0,0,0.01,2025-01-01,CSF2RA,,,,6
1254,ENSG00000004468,1,1.0,0.5,0.0,1,1,76832.90012167432,2009-11-15,CD38,-0.29200006,0.34252,0.44215,1
1255,ENSG00000011485,0,0.5,-1.0,-1.0,2,2,169088.90478978804,2012-11-01,PPP5C,0.544,3.0039,0.36532,3
1256,ENSG00000018625,1,1.0,0.75,0.0,0,0,0.01,2025-01-01,ATP1A2,0.402,6.836,1.419,3
1257,ENSG00000019582,0,1.0,0.5,-1.0,0,0,0.01,2025-01-01,CD74,0.15100002,0.95054,0.18514,3
1258,ENSG00000026025,0,0.5,-1.0,-1.0,1,1,427337.4491868293,2023-01-18,VIM,0.458,0.8557,-0.17392,7
1259,ENSG00000036530,0,0.75,1.0,0.0,2,7,270267.2992956902,2017-07-17,CYP46A1,0.499,2.8689,-0.31041,2
1260,ENSG00000041357,0,1.0,-1.0,-1.0,6,14,598869.4096893278,2017-06-12,PSMA4,0.59099996,2.8455,0.41038,62
1261,ENSG00000044524,0,1.0,0.5,0.0,5,10,1424218.0900670097,2018-07-30,EPHA3,0.49199998,0.84553,-0.37896,3
1262,ENSG00000048392,0,1.0,-1.0,-1.0,1,1,253768.6150468714,2024-07-19,RRM2B,0.31199998,1.1926,0.47898,2
1263,ENSG00000048462,0,1.0,0.5,0.0,1,1,3664.4295302013425,2020-05-20,TNFRSF17,-0.65900004,-1.5691,-0.58429,1
1264,ENSG00000056972,1,0.75,-1.0,-1.0,7,11,309256.4614031486,2010-10-17,TRAF3IP2,0.22899997,2.1434,0.80757,0
1265,ENSG00000063177,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,RPL18,0.635,2.1884,-1.1731,13
1266,ENSG00000065361,0,1.0,-1.0,0.0,5,5,574782.4268116049,2007-06-06,ERBB3,0.305,3.3038,2.0495,15
1267,ENSG00000065518,0,1.0,0.5,-1.0,0,0,0.01,2025-01-01,NDUFB4,-0.13300002,0.11514,0.11291,2
